sample_id,session_id,split,beam_layer,distance_m,velocity_mps,true_range_index,true_velocity_index,mat_path,H_global_velocity_index,H_global_range_index,H_global_velocity_offset,H_global_range_offset,H_global_peak_db,H_local_velocity_index,H_local_range_index,H_local_velocity_offset,H_local_range_offset,H_local_abs_velocity_offset,H_local_abs_range_offset,H_local_peak_db,H_label_db,H_local_peak_minus_label_db,V_global_velocity_index,V_global_range_index,V_global_velocity_offset,V_global_range_offset,V_global_peak_db,V_local_velocity_index,V_local_range_index,V_local_velocity_offset,V_local_range_offset,V_local_abs_velocity_offset,V_local_abs_range_offset,V_local_peak_db,V_label_db,V_local_peak_minus_label_db,H_minus_V_local_range_index,H_minus_V_local_velocity_index,H_minus_V_local_peak_db,distance_bin,velocity_bin
20260202_144254_beam3,20260202_144254,train,3,2010.0,-2.01,66,75,data/raw/IQ_Data/20260202_144254_beam3.mat,64,8,-11,-58,61.20573043823242,75,64,0,-2,0,2,25.510618209838867,24.691898345947266,0.8187198638916016,64,8,-11,-58,61.07799530029297,75,62,0,-4,0,4,38.41295623779297,38.219329833984375,0.19362640380859375,2,0,-12.902338027954102,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144254_beam4,20260202_144254,train,4,2010.0,-2.01,66,75,data/raw/IQ_Data/20260202_144254_beam4.mat,64,8,-11,-58,61.91158676147461,75,65,0,-1,0,1,21.298667907714844,19.821369171142578,1.4772987365722656,64,8,-11,-58,61.18513107299805,75,62,0,-4,0,4,33.98147201538086,33.847354888916016,0.13411712646484375,3,0,-12.682804107666016,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144302_beam1,20260202_144302,train,1,1980.0,-2.19,65,76,data/raw/IQ_Data/20260202_144302_beam1.mat,64,26,-12,-39,63.77452850341797,76,66,0,1,0,1,14.961877822875977,13.333230018615723,1.628647804260254,64,24,-12,-41,60.39409637451172,76,70,0,5,0,5,27.374553680419922,26.62505340576172,0.7495002746582031,-4,0,-12.412675857543945,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144302_beam2,20260202_144302,train,2,1980.0,-2.01,65,75,data/raw/IQ_Data/20260202_144302_beam2.mat,64,26,-11,-39,62.66625213623047,76,70,1,5,1,5,22.471525192260742,20.292203903198242,2.1793212890625,64,8,-11,-57,61.79825210571289,76,70,1,5,1,5,35.6146240234375,33.00863265991211,2.6059913635253906,0,0,-13.143098831176758,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144302_beam3,20260202_144302,train,3,2010.0,-2.19,66,76,data/raw/IQ_Data/20260202_144302_beam3.mat,64,8,-12,-58,61.20586395263672,76,70,0,4,0,4,24.62775421142578,24.499298095703125,0.12845611572265625,64,36,-12,-30,61.78505325317383,76,70,0,4,0,4,37.73032760620117,37.12051010131836,0.6098175048828125,0,0,-13.10257339477539,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144302_beam4,20260202_144302,train,4,2010.0,-2.19,66,76,data/raw/IQ_Data/20260202_144302_beam4.mat,64,8,-12,-58,61.9109001159668,76,67,0,1,0,1,20.785371780395508,20.28247833251953,0.5028934478759766,64,36,-12,-30,61.21906280517578,76,70,0,4,0,4,33.85237121582031,33.18854522705078,0.6638259887695312,-3,0,-13.066999435424805,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144302_beam5,20260202_144302,train,5,2010.0,-2.19,66,76,data/raw/IQ_Data/20260202_144302_beam5.mat,64,24,-12,-42,55.269168853759766,76,67,0,1,0,1,12.10821533203125,8.6405611038208,3.467654228210449,64,36,-12,-30,55.89358901977539,76,70,0,4,0,4,24.248065948486328,23.31291961669922,0.9351463317871094,-3,0,-12.139850616455078,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144311_beam1,20260202_144311,train,1,2010.0,3.47,66,45,data/raw/IQ_Data/20260202_144311_beam1.mat,64,8,19,-58,60.35612487792969,45,62,0,-4,0,4,23.978708267211914,23.677486419677734,0.3012218475341797,64,8,19,-58,59.880699157714844,45,62,0,-4,0,4,31.945083618164062,31.735309600830078,0.20977401733398438,0,0,-7.966375350952148,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144311_beam2,20260202_144311,train,2,2010.0,3.47,66,45,data/raw/IQ_Data/20260202_144311_beam2.mat,64,8,19,-58,60.77903747558594,45,62,0,-4,0,4,31.78921890258789,31.33882713317871,0.4503917694091797,64,8,19,-58,61.795860290527344,45,62,0,-4,0,4,40.21514892578125,39.87967300415039,0.3354759216308594,0,0,-8.42593002319336,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144311_beam3,20260202_144311,train,3,2010.0,3.29,66,46,data/raw/IQ_Data/20260202_144311_beam3.mat,64,8,18,-58,61.20494842529297,45,62,-1,-4,1,4,33.388160705566406,30.680885314941406,2.707275390625,64,8,18,-58,61.07652282714844,45,62,-1,-4,1,4,41.97332000732422,39.33182144165039,2.641498565673828,0,0,-8.585159301757812,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144311_beam4,20260202_144311,train,4,2010.0,3.47,66,45,data/raw/IQ_Data/20260202_144311_beam4.mat,64,8,19,-58,61.91133499145508,45,62,0,-4,0,4,28.840579986572266,28.671234130859375,0.16934585571289062,64,8,19,-58,61.18397521972656,45,62,0,-4,0,4,37.54977035522461,37.11354064941406,0.4362297058105469,0,0,-8.709190368652344,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144311_beam5,20260202_144311,train,5,2010.0,3.47,66,45,data/raw/IQ_Data/20260202_144311_beam5.mat,64,8,19,-58,54.835018157958984,45,70,0,4,0,4,19.058944702148438,18.82607650756836,0.23286819458007812,64,8,19,-58,55.606502532958984,45,62,0,-4,0,4,27.386592864990234,26.794130325317383,0.5924625396728516,8,0,-8.327648162841797,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144319_beam1,20260202_144319,train,1,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144319_beam1.mat,64,26,12,-41,62.15081787109375,52,63,0,-4,0,4,26.240646362304688,25.82288932800293,0.4177570343017578,64,24,12,-43,60.828216552734375,52,63,0,-4,0,4,33.36494064331055,32.540061950683594,0.8248786926269531,0,0,-7.124294281005859,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144319_beam2,20260202_144319,train,2,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144319_beam2.mat,64,8,12,-59,60.7799186706543,52,63,0,-4,0,4,33.79627227783203,33.24699783325195,0.5492744445800781,64,8,12,-59,61.796539306640625,52,63,0,-4,0,4,41.040245056152344,40.34733581542969,0.6929092407226562,0,0,-7.2439727783203125,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144319_beam3,20260202_144319,train,3,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144319_beam3.mat,64,8,12,-59,61.20481491088867,52,71,0,4,0,4,35.069541931152344,34.48882293701172,0.580718994140625,64,8,12,-59,61.077239990234375,52,63,0,-4,0,4,42.35190963745117,41.68632507324219,0.6655845642089844,8,0,-7.282367706298828,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144319_beam4,20260202_144319,train,4,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144319_beam4.mat,64,8,12,-59,61.91022872924805,52,71,0,4,0,4,30.382122039794922,29.700321197509766,0.6818008422851562,64,8,12,-59,61.18545150756836,52,63,0,-4,0,4,37.51659393310547,36.86768341064453,0.6489105224609375,8,0,-7.134471893310547,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144319_beam5,20260202_144319,train,5,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144319_beam5.mat,64,8,12,-59,54.831199645996094,52,71,0,4,0,4,20.447513580322266,19.06702995300293,1.380483627319336,64,8,12,-59,55.61050796508789,52,71,0,4,0,4,27.13333511352539,26.310949325561523,0.8223857879638672,0,0,-6.685821533203125,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144327_beam1,20260202_144327,train,1,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144327_beam1.mat,64,8,12,-59,60.35762405395508,52,69,0,2,0,2,24.577098846435547,23.274316787719727,1.3027820587158203,64,8,12,-59,59.88346862792969,52,66,0,-1,0,1,31.15280532836914,30.99203872680664,0.1607666015625,3,0,-6.575706481933594,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144327_beam2,20260202_144327,train,2,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144327_beam2.mat,64,8,12,-59,60.77960205078125,52,69,0,2,0,2,31.176319122314453,30.830060958862305,0.34625816345214844,64,8,12,-59,61.80065155029297,52,72,0,5,0,5,38.50117111206055,38.256324768066406,0.24484634399414062,-3,0,-7.324851989746094,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144327_beam3,20260202_144327,train,3,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144327_beam3.mat,64,8,12,-59,61.20456314086914,52,72,0,5,0,5,32.12266540527344,31.804258346557617,0.3184070587158203,64,8,12,-59,61.08073806762695,52,72,0,5,0,5,39.49775314331055,39.185855865478516,0.31189727783203125,0,0,-7.375087738037109,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144327_beam4,20260202_144327,train,4,2070.0,2.19,68,52,data/raw/IQ_Data/20260202_144327_beam4.mat,64,8,12,-60,61.911041259765625,52,72,0,4,0,4,27.180498123168945,26.87870216369629,0.30179595947265625,64,8,12,-60,61.1870231628418,52,72,0,4,0,4,34.44157028198242,34.20913314819336,0.2324371337890625,0,0,-7.261072158813477,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144327_beam5,20260202_144327,train,5,2040.0,2.19,67,52,data/raw/IQ_Data/20260202_144327_beam5.mat,64,8,12,-59,54.834957122802734,52,70,0,3,0,3,16.921913146972656,16.10056495666504,0.8213481903076172,64,8,12,-59,55.61073303222656,52,69,0,2,0,2,24.1623477935791,23.64259910583496,0.5197486877441406,1,0,-7.240434646606445,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144335_beam1,20260202_144335,train,1,2070.0,2.19,68,52,data/raw/IQ_Data/20260202_144335_beam1.mat,64,26,12,-42,64.57765197753906,52,72,0,4,0,4,22.202125549316406,21.688770294189453,0.5133552551269531,64,24,12,-44,60.20417785644531,52,64,0,-4,0,4,29.4516544342041,28.936969757080078,0.5146846771240234,8,0,-7.249528884887695,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144335_beam2,20260202_144335,train,2,2070.0,2.38,68,51,data/raw/IQ_Data/20260202_144335_beam2.mat,64,8,13,-60,60.77983474731445,52,64,1,-4,1,4,32.76296615600586,31.155710220336914,1.6072559356689453,64,8,13,-60,61.798744201660156,52,64,1,-4,1,4,40.44292449951172,38.81449890136719,1.6284255981445312,0,0,-7.679958343505859,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144335_beam3,20260202_144335,train,3,2070.0,2.19,68,52,data/raw/IQ_Data/20260202_144335_beam3.mat,64,8,12,-60,61.204383850097656,52,64,0,-4,0,4,33.24751663208008,32.7291374206543,0.5183792114257812,64,8,12,-60,61.07691955566406,52,64,0,-4,0,4,40.92820739746094,40.40872573852539,0.5194816589355469,0,0,-7.680690765380859,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144335_beam4,20260202_144335,train,4,2070.0,2.19,68,52,data/raw/IQ_Data/20260202_144335_beam4.mat,64,8,12,-60,61.91032409667969,52,64,0,-4,0,4,27.66963768005371,27.105684280395508,0.5639533996582031,64,8,12,-60,61.18526077270508,52,64,0,-4,0,4,35.292266845703125,34.793575286865234,0.4986915588378906,0,0,-7.622629165649414,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144335_beam5,20260202_144335,train,5,2070.0,2.19,68,52,data/raw/IQ_Data/20260202_144335_beam5.mat,64,8,12,-60,54.830204010009766,52,67,0,-1,0,1,16.5952091217041,15.122991561889648,1.4722175598144531,64,8,12,-60,55.60978698730469,52,72,0,4,0,4,24.6914005279541,23.79851531982422,0.8928852081298828,-5,0,-8.09619140625,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144344_beam1,20260202_144344,test,1,2070.0,2.01,68,53,data/raw/IQ_Data/20260202_144344_beam1.mat,64,8,11,-60,60.358978271484375,53,73,0,5,0,5,23.11505889892578,22.35043716430664,0.7646217346191406,64,8,11,-60,59.882904052734375,53,73,0,5,0,5,20.13791847229004,19.063766479492188,1.0741519927978516,0,0,2.977140426635742,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144344_beam2,20260202_144344,test,2,2100.0,2.01,69,53,data/raw/IQ_Data/20260202_144344_beam2.mat,64,8,11,-61,60.778411865234375,53,73,0,4,0,4,29.45386505126953,28.743946075439453,0.7099189758300781,64,8,11,-61,61.79784393310547,53,73,0,4,0,4,26.27501678466797,25.806922912597656,0.4680938720703125,0,0,3.1788482666015625,"[2100.0, 2400.0)","[2.0, 4.0)"
20260202_144344_beam3,20260202_144344,test,3,2100.0,2.19,69,52,data/raw/IQ_Data/20260202_144344_beam3.mat,64,8,12,-61,61.20429611206055,53,73,1,4,1,4,29.646621704101562,25.50711441040039,4.139507293701172,64,8,12,-61,61.07769012451172,53,65,1,-4,1,4,26.48198699951172,22.813472747802734,3.6685142517089844,8,0,3.1646347045898438,"[2100.0, 2400.0)","[2.0, 4.0)"
20260202_144344_beam4,20260202_144344,test,4,2070.0,2.19,68,52,data/raw/IQ_Data/20260202_144344_beam4.mat,64,8,12,-60,61.911102294921875,53,73,1,5,1,5,23.67540740966797,20.78626823425293,2.889139175415039,64,8,12,-60,61.18675231933594,53,65,1,-3,1,3,20.809497833251953,15.77496337890625,5.034534454345703,8,0,2.8659095764160156,"[1800.0, 2100.0)","[2.0, 4.0)"
20260202_144344_beam5,20260202_144344,test,5,2100.0,2.01,69,53,data/raw/IQ_Data/20260202_144344_beam5.mat,64,8,11,-61,54.8288688659668,53,73,0,4,0,4,15.777979850769043,14.142305374145508,1.6356744766235352,64,8,11,-61,55.612327575683594,53,65,0,-4,0,4,13.460421562194824,11.029024124145508,2.4313974380493164,8,0,2.3175582885742188,"[2100.0, 2400.0)","[2.0, 4.0)"
20260202_144352_beam1,20260202_144352,train,1,2100.0,-2.92,69,80,data/raw/IQ_Data/20260202_144352_beam1.mat,64,26,-16,-43,64.75150299072266,80,65,0,-4,0,4,21.11959457397461,19.49431610107422,1.6252784729003906,64,24,-16,-45,62.075477600097656,80,70,0,1,0,1,15.822104454040527,13.823476791381836,1.9986276626586914,-5,0,5.297490119934082,"[2100.0, 2400.0)","[-4.0, -2.0)"
20260202_144352_beam2,20260202_144352,train,2,2100.0,-2.74,69,79,data/raw/IQ_Data/20260202_144352_beam2.mat,64,26,-15,-43,62.75494384765625,80,65,1,-4,1,4,27.101287841796875,22.865171432495117,4.236116409301758,64,8,-15,-61,61.79703140258789,80,73,1,4,1,4,22.410369873046875,18.600000381469727,3.8103694915771484,-8,0,4.69091796875,"[2100.0, 2400.0)","[-4.0, -2.0)"
20260202_144352_beam3,20260202_144352,train,3,2100.0,-2.92,69,80,data/raw/IQ_Data/20260202_144352_beam3.mat,64,8,-16,-61,61.20649719238281,80,65,0,-4,0,4,27.23189353942871,26.795028686523438,0.43686485290527344,64,24,-16,-45,62.61831283569336,80,65,0,-4,0,4,22.701725006103516,21.168121337890625,1.5336036682128906,0,0,4.530168533325195,"[2100.0, 2400.0)","[-4.0, -2.0)"
20260202_144352_beam4,20260202_144352,train,4,2070.0,-2.92,68,80,data/raw/IQ_Data/20260202_144352_beam4.mat,64,8,-16,-60,61.911590576171875,80,65,0,-3,0,3,21.457210540771484,20.66407012939453,0.7931404113769531,64,36,-16,-32,62.15804672241211,80,65,0,-3,0,3,17.176820755004883,13.727145195007324,3.4496755599975586,0,0,4.280389785766602,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144352_beam5,20260202_144352,train,5,2100.0,-2.92,69,80,data/raw/IQ_Data/20260202_144352_beam5.mat,64,8,-16,-61,54.834285736083984,80,65,0,-4,0,4,12.181074142456055,11.347580909729004,0.8334932327270508,64,36,-16,-33,57.23467254638672,80,66,0,-3,0,3,9.490090370178223,4.385292053222656,5.104798316955566,-1,0,2.690983772277832,"[2100.0, 2400.0)","[-4.0, -2.0)"
20260202_144417_beam1,20260202_144417,train,1,2040.0,-3.29,67,82,data/raw/IQ_Data/20260202_144417_beam1.mat,64,8,-18,-59,60.36142349243164,82,62,0,-5,0,5,13.977118492126465,13.151679039001465,0.825439453125,64,8,-18,-59,59.88491439819336,82,69,0,2,0,2,21.075115203857422,20.644683837890625,0.4304313659667969,-7,0,-7.097996711730957,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144417_beam2,20260202_144417,train,2,2010.0,-3.47,66,83,data/raw/IQ_Data/20260202_144417_beam2.mat,64,8,-19,-58,60.78184127807617,82,65,-1,-1,1,1,21.17191505432129,18.764324188232422,2.407590866088867,64,8,-19,-58,61.7991828918457,82,69,-1,3,1,3,28.801132202148438,26.517799377441406,2.2833328247070312,-4,0,-7.629217147827148,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144417_beam3,20260202_144417,train,3,2040.0,-3.47,67,83,data/raw/IQ_Data/20260202_144417_beam3.mat,64,8,-19,-59,61.206695556640625,82,68,-1,1,1,1,22.894451141357422,20.50229835510254,2.392152786254883,64,8,-19,-59,61.07902526855469,82,69,-1,2,1,2,30.450904846191406,28.193052291870117,2.257852554321289,-1,0,-7.556453704833984,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144417_beam4,20260202_144417,train,4,2010.0,-3.29,66,82,data/raw/IQ_Data/20260202_144417_beam4.mat,64,8,-18,-58,61.911094665527344,82,68,0,2,0,2,18.821205139160156,18.438011169433594,0.3831939697265625,64,8,-18,-58,61.184200286865234,82,68,0,2,0,2,26.33723258972168,25.780250549316406,0.5569820404052734,0,0,-7.516027450561523,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144417_beam5,20260202_144417,train,5,2010.0,-3.29,66,82,data/raw/IQ_Data/20260202_144417_beam5.mat,64,8,-18,-58,54.83016586303711,82,69,0,3,0,3,11.481328010559082,11.407588958740234,0.07373905181884766,64,8,-18,-58,55.608821868896484,82,68,0,2,0,2,18.151851654052734,17.268169403076172,0.8836822509765625,1,0,-6.670523643493652,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144425_beam1,20260202_144425,val,1,1980.0,-3.47,65,83,data/raw/IQ_Data/20260202_144425_beam1.mat,64,26,-19,-39,61.20426559448242,83,61,0,-4,0,4,13.928890228271484,11.673561096191406,2.255329132080078,64,24,-19,-41,62.34217834472656,83,66,0,1,0,1,20.04541015625,19.47612762451172,0.5692825317382812,-5,0,-6.116519927978516,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144425_beam2,20260202_144425,val,2,1980.0,-3.47,65,83,data/raw/IQ_Data/20260202_144425_beam2.mat,64,8,-19,-57,60.77960968017578,83,63,0,-2,0,2,21.851646423339844,21.307533264160156,0.5441131591796875,64,24,-19,-41,62.07978057861328,83,61,0,-4,0,4,28.922245025634766,28.418750762939453,0.5034942626953125,2,0,-7.070598602294922,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144425_beam3,20260202_144425,val,3,2010.0,-3.47,66,83,data/raw/IQ_Data/20260202_144425_beam3.mat,64,24,-19,-42,61.79115295410156,83,63,0,-3,0,3,24.2479248046875,23.585691452026367,0.6622333526611328,64,24,-19,-42,62.049861907958984,83,61,0,-5,0,5,31.687923431396484,31.24905776977539,0.43886566162109375,2,0,-7.439998626708984,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144425_beam4,20260202_144425,val,4,1980.0,-3.47,65,83,data/raw/IQ_Data/20260202_144425_beam4.mat,64,8,-19,-57,61.90930938720703,83,63,0,-2,0,2,20.864927291870117,20.7998046875,0.06512260437011719,64,8,-19,-57,61.183860778808594,83,61,0,-4,0,4,28.37560272216797,27.65760040283203,0.7180023193359375,2,0,-7.510675430297852,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144425_beam5,20260202_144425,val,5,2010.0,-3.47,66,83,data/raw/IQ_Data/20260202_144425_beam5.mat,64,8,-19,-58,54.830116271972656,83,62,0,-4,0,4,12.897512435913086,11.312507629394531,1.5850048065185547,64,8,-19,-58,55.60918426513672,83,61,0,-5,0,5,18.967554092407227,17.991188049316406,0.9763660430908203,1,0,-6.070041656494141,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144433_beam1,20260202_144433,test,1,1950.0,-4.2,64,87,data/raw/IQ_Data/20260202_144433_beam1.mat,64,8,-23,-56,60.357948303222656,87,66,0,2,0,2,16.74251365661621,15.626002311706543,1.116511344909668,64,8,-23,-56,59.88215637207031,87,66,0,2,0,2,21.30523681640625,19.97758674621582,1.3276500701904297,0,0,-4.562723159790039,"[1800.0, 2100.0)","[-6.0, -4.0)"
20260202_144433_beam2,20260202_144433,test,2,1950.0,-4.2,64,87,data/raw/IQ_Data/20260202_144433_beam2.mat,64,8,-23,-56,60.779396057128906,87,60,0,-4,0,4,25.02427101135254,24.311420440673828,0.7128505706787109,64,8,-23,-56,61.79743957519531,87,60,0,-4,0,4,30.94736099243164,30.157379150390625,0.7899818420410156,0,0,-5.923089981079102,"[1800.0, 2100.0)","[-6.0, -4.0)"
20260202_144433_beam3,20260202_144433,test,3,1950.0,-4.2,64,87,data/raw/IQ_Data/20260202_144433_beam3.mat,64,8,-23,-56,61.20428466796875,87,60,0,-4,0,4,28.362207412719727,27.56717872619629,0.7950286865234375,64,8,-23,-56,61.07802963256836,87,60,0,-4,0,4,34.241676330566406,33.73894119262695,0.5027351379394531,0,0,-5.87946891784668,"[1800.0, 2100.0)","[-6.0, -4.0)"
20260202_144433_beam4,20260202_144433,test,4,1950.0,-4.2,64,87,data/raw/IQ_Data/20260202_144433_beam4.mat,64,8,-23,-56,61.910308837890625,87,60,0,-4,0,4,25.998384475708008,24.93402671813965,1.0643577575683594,64,8,-23,-56,61.186195373535156,87,60,0,-4,0,4,31.398365020751953,31.14801788330078,0.2503471374511719,0,0,-5.399980545043945,"[1800.0, 2100.0)","[-6.0, -4.0)"
