fold,class_name,source_file,role,sample_count
1,UAV,20260202_145135,train,5
1,UAV,20260202_145143,train,5
1,UAV,20260202_145151,train,5
1,UAV,20260202_145208,train,4
1,UAV,20260202_145216,train,5
1,UAV,20260202_145713,train,4
1,UAV,20260202_145722,train,4
1,UAV,20260202_145730,train,5
1,UAV,20260202_145738,train,5
1,UAV,20260202_145746,train,5
1,UAV,20260202_145755,train,5
1,UAV,20260202_145813,train,5
1,UAV,20260202_145819,train,5
1,UAV,20260202_145828,train,5
1,UAV,20260202_145836,train,5
2,Background,20260204_100739,train,150
2,Background,20260204_100802,test,150
2,Background,20260204_100826,val,115
2,Background,20260204_100845,train,150
2,Background,20260204_100908,train,150
2,Background,20260204_100932,train,115
2,UAV,20260202_144238,train,4
2,UAV,20260202_144246,train,5
2,UAV,20260202_144254,train,4
2,UAV,20260202_144302,train,5
2,UAV,20260202_144311,train,5
2,UAV,20260202_144319,train,5
2,UAV,20260202_144327,train,5
2,UAV,20260202_144335,train,5
2,UAV,20260202_144344,train,5
2,UAV,20260202_144352,train,5
2,UAV,20260202_144417,train,5
2,UAV,20260202_144425,test,5
2,UAV,20260202_144433,test,5
2,UAV,20260202_144458,test,5
2,UAV,20260202_144506,test,5
2,UAV,20260202_144515,test,5
2,UAV,20260202_144523,test,5
2,UAV,20260202_144539,test,4
2,UAV,20260202_144548,test,4
2,UAV,20260202_144556,test,3
2,UAV,20260202_144604,test,4
2,UAV,20260202_144613,test,4
2,UAV,20260202_144629,test,4
2,UAV,20260202_144637,val,4
2,UAV,20260202_144645,val,4
2,UAV,20260202_144710,val,4
2,UAV,20260202_144718,val,4
2,UAV,20260202_144727,val,4
2,UAV,20260202_144735,val,4
2,UAV,20260202_144751,val,5
2,UAV,20260202_144800,val,4
2,UAV,20260202_144808,val,4
2,UAV,20260202_144816,val,5
2,UAV,20260202_144825,val,5
2,UAV,20260202_144833,val,5
2,UAV,20260202_144841,train,4
2,UAV,20260202_144849,train,4
2,UAV,20260202_144857,train,4
2,UAV,20260202_144906,train,4
2,UAV,20260202_144914,train,4
2,UAV,20260202_144922,train,5
2,UAV,20260202_144931,train,4
2,UAV,20260202_144939,train,5
2,UAV,20260202_144947,train,5
2,UAV,20260202_144955,train,5
2,UAV,20260202_145004,train,4
2,UAV,20260202_145012,train,4
2,UAV,20260202_145020,train,4
2,UAV,20260202_145028,train,3
2,UAV,20260202_145037,train,3
2,UAV,20260202_145045,train,4
2,UAV,20260202_145053,train,4
2,UAV,20260202_145102,train,5
2,UAV,20260202_145110,train,4
2,UAV,20260202_145118,train,4
2,UAV,20260202_145126,train,5
2,UAV,20260202_145135,train,5
2,UAV,20260202_145143,train,5
2,UAV,20260202_145151,train,5
2,UAV,20260202_145208,train,4
2,UAV,20260202_145216,train,5
2,UAV,20260202_145713,train,4
2,UAV,20260202_145722,train,4
2,UAV,20260202_145730,train,5
2,UAV,20260202_145738,train,5
2,UAV,20260202_145746,train,5
2,UAV,20260202_145755,train,5
2,UAV,20260202_145813,train,5
2,UAV,20260202_145819,train,5
2,UAV,20260202_145828,train,5
2,UAV,20260202_145836,train,5
3,Background,20260204_100739,train,150
3,Background,20260204_100802,train,150
3,Background,20260204_100826,test,115
3,Background,20260204_100845,val,150
3,Background,20260204_100908,train,150
3,Background,20260204_100932,train,115
3,UAV,20260202_144238,train,4
3,UAV,20260202_144246,train,5
3,UAV,20260202_144254,train,4
3,UAV,20260202_144302,train,5
3,UAV,20260202_144311,train,5
3,UAV,20260202_144319,train,5
3,UAV,20260202_144327,train,5
3,UAV,20260202_144335,train,5
3,UAV,20260202_144344,train,5
3,UAV,20260202_144352,train,5
3,UAV,20260202_144417,train,5
3,UAV,20260202_144425,train,5
3,UAV,20260202_144433,train,5
3,UAV,20260202_144458,train,5
3,UAV,20260202_144506,train,5
3,UAV,20260202_144515,train,5
3,UAV,20260202_144523,train,5
3,UAV,20260202_144539,train,4
3,UAV,20260202_144548,train,4
3,UAV,20260202_144556,train,3
3,UAV,20260202_144604,train,4
3,UAV,20260202_144613,train,4
3,UAV,20260202_144629,train,4
3,UAV,20260202_144637,test,4
3,UAV,20260202_144645,test,4
3,UAV,20260202_144710,test,4
3,UAV,20260202_144718,test,4
3,UAV,20260202_144727,test,4
3,UAV,20260202_144735,test,4
3,UAV,20260202_144751,test,5
3,UAV,20260202_144800,test,4
3,UAV,20260202_144808,test,4
3,UAV,20260202_144816,test,5
3,UAV,20260202_144825,test,5
3,UAV,20260202_144833,test,5
3,UAV,20260202_144841,val,4
3,UAV,20260202_144849,val,4
3,UAV,20260202_144857,val,4
3,UAV,20260202_144906,val,4
3,UAV,20260202_144914,val,4
3,UAV,20260202_144922,val,5
3,UAV,20260202_144931,val,4
3,UAV,20260202_144939,val,5
3,UAV,20260202_144947,val,5
3,UAV,20260202_144955,val,5
3,UAV,20260202_145004,val,4
3,UAV,20260202_145012,val,4
3,UAV,20260202_145020,train,4
3,UAV,20260202_145028,train,3
3,UAV,20260202_145037,train,3
3,UAV,20260202_145045,train,4
3,UAV,20260202_145053,train,4
3,UAV,20260202_145102,train,5
3,UAV,20260202_145110,train,4
3,UAV,20260202_145118,train,4
3,UAV,20260202_145126,train,5
3,UAV,20260202_145135,train,5
3,UAV,20260202_145143,train,5
3,UAV,20260202_145151,train,5
3,UAV,20260202_145208,train,4
3,UAV,20260202_145216,train,5
3,UAV,20260202_145713,train,4
3,UAV,20260202_145722,train,4
3,UAV,20260202_145730,train,5
3,UAV,20260202_145738,train,5
3,UAV,20260202_145746,train,5
3,UAV,20260202_145755,train,5
3,UAV,20260202_145813,train,5
3,UAV,20260202_145819,train,5
3,UAV,20260202_145828,train,5
3,UAV,20260202_145836,train,5
4,Background,20260204_100739,train,150
4,Background,20260204_100802,train,150
4,Background,20260204_100826,train,115
4,Background,20260204_100845,test,150
4,Background,20260204_100908,val,150
4,Background,20260204_100932,train,115
4,UAV,20260202_144238,train,4
4,UAV,20260202_144246,train,5
4,UAV,20260202_144254,train,4
4,UAV,20260202_144302,train,5
4,UAV,20260202_144311,train,5
4,UAV,20260202_144319,train,5
4,UAV,20260202_144327,train,5
4,UAV,20260202_144335,train,5
4,UAV,20260202_144344,train,5
4,UAV,20260202_144352,train,5
4,UAV,20260202_144417,train,5
4,UAV,20260202_144425,train,5
4,UAV,20260202_144433,train,5
4,UAV,20260202_144458,train,5
4,UAV,20260202_144506,train,5
4,UAV,20260202_144515,train,5
4,UAV,20260202_144523,train,5
4,UAV,20260202_144539,train,4
4,UAV,20260202_144548,train,4
4,UAV,20260202_144556,train,3
4,UAV,20260202_144604,train,4
4,UAV,20260202_144613,train,4
4,UAV,20260202_144629,train,4
4,UAV,20260202_144637,train,4
4,UAV,20260202_144645,train,4
4,UAV,20260202_144710,train,4
4,UAV,20260202_144718,train,4
4,UAV,20260202_144727,train,4
4,UAV,20260202_144735,train,4
4,UAV,20260202_144751,train,5
4,UAV,20260202_144800,train,4
4,UAV,20260202_144808,train,4
4,UAV,20260202_144816,train,5
4,UAV,20260202_144825,train,5
4,UAV,20260202_144833,train,5
4,UAV,20260202_144841,test,4
4,UAV,20260202_144849,test,4
4,UAV,20260202_144857,test,4
4,UAV,20260202_144906,test,4
4,UAV,20260202_144914,test,4
4,UAV,20260202_144922,test,5
4,UAV,20260202_144931,test,4
4,UAV,20260202_144939,test,5
4,UAV,20260202_144947,test,5
4,UAV,20260202_144955,test,5
4,UAV,20260202_145004,test,4
4,UAV,20260202_145012,test,4
4,UAV,20260202_145020,val,4
4,UAV,20260202_145028,val,3
4,UAV,20260202_145037,val,3
4,UAV,20260202_145045,val,4
4,UAV,20260202_145053,val,4
4,UAV,20260202_145102,val,5
4,UAV,20260202_145110,val,4
4,UAV,20260202_145118,val,4
4,UAV,20260202_145126,val,5
4,UAV,20260202_145135,val,5
4,UAV,20260202_145143,val,5
4,UAV,20260202_145151,val,5
4,UAV,20260202_145208,val,4
4,UAV,20260202_145216,val,5
4,UAV,20260202_145713,train,4
4,UAV,20260202_145722,train,4
4,UAV,20260202_145730,train,5
4,UAV,20260202_145738,train,5
4,UAV,20260202_145746,train,5
4,UAV,20260202_145755,train,5
4,UAV,20260202_145813,train,5
4,UAV,20260202_145819,train,5
4,UAV,20260202_145828,train,5
4,UAV,20260202_145836,train,5
5,Background,20260204_100739,train,150
5,Background,20260204_100802,train,150
5,Background,20260204_100826,train,115
5,Background,20260204_100845,train,150
5,Background,20260204_100908,test,150
5,Background,20260204_100932,val,115
5,UAV,20260202_144238,train,4
5,UAV,20260202_144246,train,5
5,UAV,20260202_144254,train,4
5,UAV,20260202_144302,train,5
5,UAV,20260202_144311,train,5
5,UAV,20260202_144319,train,5
5,UAV,20260202_144327,train,5
5,UAV,20260202_144335,train,5
5,UAV,20260202_144344,train,5
5,UAV,20260202_144352,train,5
5,UAV,20260202_144417,train,5
5,UAV,20260202_144425,train,5
5,UAV,20260202_144433,train,5
5,UAV,20260202_144458,train,5
5,UAV,20260202_144506,train,5
5,UAV,20260202_144515,train,5
5,UAV,20260202_144523,train,5
5,UAV,20260202_144539,train,4
5,UAV,20260202_144548,train,4
5,UAV,20260202_144556,train,3
5,UAV,20260202_144604,train,4
5,UAV,20260202_144613,train,4
5,UAV,20260202_144629,train,4
5,UAV,20260202_144637,train,4
5,UAV,20260202_144645,train,4
5,UAV,20260202_144710,train,4
5,UAV,20260202_144718,train,4
5,UAV,20260202_144727,train,4
5,UAV,20260202_144735,train,4
5,UAV,20260202_144751,train,5
5,UAV,20260202_144800,train,4
5,UAV,20260202_144808,train,4
5,UAV,20260202_144816,train,5
5,UAV,20260202_144825,train,5
5,UAV,20260202_144833,train,5
5,UAV,20260202_144841,train,4
5,UAV,20260202_144849,train,4
5,UAV,20260202_144857,train,4
5,UAV,20260202_144906,train,4
5,UAV,20260202_144914,train,4
5,UAV,20260202_144922,train,5
5,UAV,20260202_144931,train,4
5,UAV,20260202_144939,train,5
5,UAV,20260202_144947,train,5
5,UAV,20260202_144955,train,5
5,UAV,20260202_145004,train,4
5,UAV,20260202_145012,train,4
5,UAV,20260202_145020,test,4
5,UAV,20260202_145028,test,3
5,UAV,20260202_145037,test,3
5,UAV,20260202_145045,test,4
5,UAV,20260202_145053,test,4
5,UAV,20260202_145102,test,5
5,UAV,20260202_145110,test,4
5,UAV,20260202_145118,test,4
5,UAV,20260202_145126,test,5
5,UAV,20260202_145135,test,5
5,UAV,20260202_145143,test,5
5,UAV,20260202_145151,test,5
5,UAV,20260202_145208,test,4
5,UAV,20260202_145216,test,5
5,UAV,20260202_145713,val,4
5,UAV,20260202_145722,val,4
5,UAV,20260202_145730,val,5
5,UAV,20260202_145738,val,5
5,UAV,20260202_145746,val,5
5,UAV,20260202_145755,val,5
5,UAV,20260202_145813,val,5
5,UAV,20260202_145819,val,5
5,UAV,20260202_145828,val,5
5,UAV,20260202_145836,val,5
6,Background,20260204_100739,val,150
6,Background,20260204_100802,train,150
6,Background,20260204_100826,train,115
6,Background,20260204_100845,train,150
6,Background,20260204_100908,train,150
6,Background,20260204_100932,test,115
6,UAV,20260202_144238,val,4
6,UAV,20260202_144246,val,5
6,UAV,20260202_144254,val,4
6,UAV,20260202_144302,val,5
6,UAV,20260202_144311,val,5
6,UAV,20260202_144319,val,5
6,UAV,20260202_144327,val,5
6,UAV,20260202_144335,val,5
6,UAV,20260202_144344,val,5
6,UAV,20260202_144352,val,5
6,UAV,20260202_144417,val,5
6,UAV,20260202_144425,train,5
6,UAV,20260202_144433,train,5
6,UAV,20260202_144458,train,5
6,UAV,20260202_144506,train,5
6,UAV,20260202_144515,train,5
6,UAV,20260202_144523,train,5
6,UAV,20260202_144539,train,4
6,UAV,20260202_144548,train,4
6,UAV,20260202_144556,train,3
6,UAV,20260202_144604,train,4
6,UAV,20260202_144613,train,4
6,UAV,20260202_144629,train,4
6,UAV,20260202_144637,train,4
6,UAV,20260202_144645,train,4
6,UAV,20260202_144710,train,4
6,UAV,20260202_144718,train,4
6,UAV,20260202_144727,train,4
6,UAV,20260202_144735,train,4
6,UAV,20260202_144751,train,5
6,UAV,20260202_144800,train,4
6,UAV,20260202_144808,train,4
6,UAV,20260202_144816,train,5
6,UAV,20260202_144825,train,5
6,UAV,20260202_144833,train,5
6,UAV,20260202_144841,train,4
6,UAV,20260202_144849,train,4
6,UAV,20260202_144857,train,4
6,UAV,20260202_144906,train,4
6,UAV,20260202_144914,train,4
6,UAV,20260202_144922,train,5
6,UAV,20260202_144931,train,4
6,UAV,20260202_144939,train,5
6,UAV,20260202_144947,train,5
6,UAV,20260202_144955,train,5
6,UAV,20260202_145004,train,4
6,UAV,20260202_145012,train,4
6,UAV,20260202_145020,train,4
6,UAV,20260202_145028,train,3
6,UAV,20260202_145037,train,3
6,UAV,20260202_145045,train,4
6,UAV,20260202_145053,train,4
6,UAV,20260202_145102,train,5
6,UAV,20260202_145110,train,4
6,UAV,20260202_145118,train,4
6,UAV,20260202_145126,train,5
6,UAV,20260202_145135,train,5
6,UAV,20260202_145143,train,5
6,UAV,20260202_145151,train,5
6,UAV,20260202_145208,train,4
6,UAV,20260202_145216,train,5
6,UAV,20260202_145713,test,4
6,UAV,20260202_145722,test,4
6,UAV,20260202_145730,test,5
6,UAV,20260202_145738,test,5
6,UAV,20260202_145746,test,5
6,UAV,20260202_145755,test,5
6,UAV,20260202_145813,test,5
6,UAV,20260202_145819,test,5
6,UAV,20260202_145828,test,5
6,UAV,20260202_145836,test,5
