fold,split,class_name,sample_count,group_count,source_files
2,test,UAV,53,12,20260202_144425|20260202_144433|20260202_144458|20260202_144506|20260202_144515|20260202_144523|20260202_144539|20260202_144548|20260202_144556|20260202_144604|20260202_144613|20260202_144629
2,test,ALL,203,13,
3,train,Background,565,4,20260204_100739|20260204_100802|20260204_100908|20260204_100932
3,train,UAV,214,47,20260202_144238|20260202_144246|20260202_144254|20260202_144302|20260202_144311|20260202_144319|20260202_144327|20260202_144335|20260202_144344|20260202_144352|20260202_144417|20260202_144425|20260202_144433|20260202_144458|20260202_144506|20260202_144515|20260202_144523|20260202_144539|20260202_144548|20260202_144556|20260202_144604|20260202_144613|20260202_144629|20260202_145020|20260202_145028|20260202_145037|20260202_145045|20260202_145053|20260202_145102|20260202_145110|20260202_145118|20260202_145126|20260202_145135|20260202_145143|20260202_145151|20260202_145208|20260202_145216|20260202_145713|20260202_145722|20260202_145730|20260202_145738|20260202_145746|20260202_145755|20260202_145813|20260202_145819|20260202_145828|20260202_145836
3,train,ALL,779,51,
3,val,Background,150,1,20260204_100845
3,val,UAV,52,12,20260202_144841|20260202_144849|20260202_144857|20260202_144906|20260202_144914|20260202_144922|20260202_144931|20260202_144939|20260202_144947|20260202_144955|20260202_145004|20260202_145012
3,val,ALL,202,13,
3,test,Background,115,1,20260204_100826
3,test,UAV,52,12,20260202_144637|20260202_144645|20260202_144710|20260202_144718|20260202_144727|20260202_144735|20260202_144751|20260202_144800|20260202_144808|20260202_144816|20260202_144825|20260202_144833
3,test,ALL,167,13,
4,train,Background,530,4,20260204_100739|20260204_100802|20260204_100826|20260204_100932
4,train,UAV,206,45,20260202_144238|20260202_144246|20260202_144254|20260202_144302|20260202_144311|20260202_144319|20260202_144327|20260202_144335|20260202_144344|20260202_144352|20260202_144417|20260202_144425|20260202_144433|20260202_144458|20260202_144506|20260202_144515|20260202_144523|20260202_144539|20260202_144548|20260202_144556|20260202_144604|20260202_144613|20260202_144629|20260202_144637|20260202_144645|20260202_144710|20260202_144718|20260202_144727|20260202_144735|20260202_144751|20260202_144800|20260202_144808|20260202_144816|20260202_144825|20260202_144833|20260202_145713|20260202_145722|20260202_145730|20260202_145738|20260202_145746|20260202_145755|20260202_145813|20260202_145819|20260202_145828|20260202_145836
4,train,ALL,736,49,
4,val,Background,150,1,20260204_100908
4,val,UAV,60,14,20260202_145020|20260202_145028|20260202_145037|20260202_145045|20260202_145053|20260202_145102|20260202_145110|20260202_145118|20260202_145126|20260202_145135|20260202_145143|20260202_145151|20260202_145208|20260202_145216
4,val,ALL,210,15,
4,test,Background,150,1,20260204_100845
4,test,UAV,52,12,20260202_144841|20260202_144849|20260202_144857|20260202_144906|20260202_144914|20260202_144922|20260202_144931|20260202_144939|20260202_144947|20260202_144955|20260202_145004|20260202_145012
4,test,ALL,202,13,
5,train,Background,565,4,20260204_100739|20260204_100802|20260204_100826|20260204_100845
5,train,UAV,210,47,20260202_144238|20260202_144246|20260202_144254|20260202_144302|20260202_144311|20260202_144319|20260202_144327|20260202_144335|20260202_144344|20260202_144352|20260202_144417|20260202_144425|20260202_144433|20260202_144458|20260202_144506|20260202_144515|20260202_144523|20260202_144539|20260202_144548|20260202_144556|20260202_144604|20260202_144613|20260202_144629|20260202_144637|20260202_144645|20260202_144710|20260202_144718|20260202_144727|20260202_144735|20260202_144751|20260202_144800|20260202_144808|20260202_144816|20260202_144825|20260202_144833|20260202_144841|20260202_144849|20260202_144857|20260202_144906|20260202_144914|20260202_144922|20260202_144931|20260202_144939|20260202_144947|20260202_144955|20260202_145004|20260202_145012
5,train,ALL,775,51,
5,val,Background,115,1,20260204_100932
5,val,UAV,48,10,20260202_145713|20260202_145722|20260202_145730|20260202_145738|20260202_145746|20260202_145755|20260202_145813|20260202_145819|20260202_145828|20260202_145836
5,val,ALL,163,11,
5,test,Background,150,1,20260204_100908
5,test,UAV,60,14,20260202_145020|20260202_145028|20260202_145037|20260202_145045|20260202_145053|20260202_145102|20260202_145110|20260202_145118|20260202_145126|20260202_145135|20260202_145143|20260202_145151|20260202_145208|20260202_145216
5,test,ALL,210,15,
6,train,Background,565,4,20260204_100802|20260204_100826|20260204_100845|20260204_100908
6,train,UAV,217,50,20260202_144425|20260202_144433|20260202_144458|20260202_144506|20260202_144515|20260202_144523|20260202_144539|20260202_144548|20260202_144556|20260202_144604|20260202_144613|20260202_144629|20260202_144637|20260202_144645|20260202_144710|20260202_144718|20260202_144727|20260202_144735|20260202_144751|20260202_144800|20260202_144808|20260202_144816|20260202_144825|20260202_144833|20260202_144841|20260202_144849|20260202_144857|20260202_144906|20260202_144914|20260202_144922|20260202_144931|20260202_144939|20260202_144947|20260202_144955|20260202_145004|20260202_145012|20260202_145020|20260202_145028|20260202_145037|20260202_145045|20260202_145053|20260202_145102|20260202_145110|20260202_145118|20260202_145126|20260202_145135|20260202_145143|20260202_145151|20260202_145208|20260202_145216
6,train,ALL,782,54,
6,val,Background,150,1,20260204_100739
6,val,UAV,53,11,20260202_144238|20260202_144246|20260202_144254|20260202_144302|20260202_144311|20260202_144319|20260202_144327|20260202_144335|20260202_144344|20260202_144352|20260202_144417
6,val,ALL,203,12,
6,test,Background,115,1,20260204_100932
6,test,UAV,48,10,20260202_145713|20260202_145722|20260202_145730|20260202_145738|20260202_145746|20260202_145755|20260202_145813|20260202_145819|20260202_145828|20260202_145836
6,test,ALL,163,11,
