class_name,source_file,new_split,sample_count,original_splits,first_sample_id,last_sample_id
UAV,20260202_145004,val,4,val,20260202_145004_beam1,20260202_145004_beam4
UAV,20260202_145012,val,4,train,20260202_145012_beam1,20260202_145012_beam4
UAV,20260202_145020,val,4,train,20260202_145020_beam1,20260202_145020_beam4
UAV,20260202_145028,val,3,train,20260202_145028_beam1,20260202_145028_beam3
UAV,20260202_145037,val,3,train,20260202_145037_beam1,20260202_145037_beam3
UAV,20260202_145045,val,4,train,20260202_145045_beam1,20260202_145045_beam4
UAV,20260202_145053,val,4,train,20260202_145053_beam1,20260202_145053_beam4
UAV,20260202_145102,val,5,train,20260202_145102_beam1,20260202_145102_beam5
UAV,20260202_145110,val,4,train,20260202_145110_beam1,20260202_145110_beam4
UAV,20260202_145118,val,4,train,20260202_145118_beam1,20260202_145118_beam4
UAV,20260202_145126,val,5,train,20260202_145126_beam1,20260202_145126_beam5
UAV,20260202_145135,val,5,train,20260202_145135_beam1,20260202_145135_beam5
UAV,20260202_145143,val,5,train,20260202_145143_beam1,20260202_145143_beam5
UAV,20260202_145151,val,5,train,20260202_145151_beam1,20260202_145151_beam5
UAV,20260202_145208,val,4,val,20260202_145208_beam1,20260202_145208_beam4
UAV,20260202_145216,val,5,train,20260202_145216_beam1,20260202_145216_beam5
UAV,20260202_145713,test,4,train,20260202_145713_beam1,20260202_145713_beam4
UAV,20260202_145722,test,4,train,20260202_145722_beam1,20260202_145722_beam4
UAV,20260202_145730,test,5,train,20260202_145730_beam1,20260202_145730_beam5
UAV,20260202_145738,test,5,val,20260202_145738_beam1,20260202_145738_beam5
UAV,20260202_145746,test,5,train,20260202_145746_beam1,20260202_145746_beam5
UAV,20260202_145755,test,5,train,20260202_145755_beam1,20260202_145755_beam5
UAV,20260202_145813,test,5,train,20260202_145813_beam1,20260202_145813_beam5
UAV,20260202_145819,test,5,val,20260202_145819_beam1,20260202_145819_beam5
UAV,20260202_145828,test,5,train,20260202_145828_beam1,20260202_145828_beam5
UAV,20260202_145836,test,5,val,20260202_145836_beam1,20260202_145836_beam5
