dataset_id,release_version,artifact_id,artifact_role,official_file_name,official_source_url,download_date,byte_count,sha256,sha256_scope,official_checksum_algorithm,official_checksum,integrity_status,local_storage_key,git_policy,license_status,notes
"lss_fmcwr_2_0","V4","fmcwr2_distance_periodic_graph","processing_example","DistancePeriodicGraph.m","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","1447","13d68ed84ed6652b6fcfc7e21a685e6f1a8ccebe8453d6ba960bf3ddcb028636","file","","","size_sha256_passed","data/raw/external/LSS-FMCWR-2.0/DistancePeriodicGraph.m","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","GB-family encoded MATLAB example; hard-coded Windows path must not be reused."
"lss_fmcwr_2_0","V4","fmcwr2_micro_doppler_pdf","processing_instructions","微多普勒处理流程_Micro-Doppler Processing.pdf","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","76960","a85fe90b254f815debf1b7cb2eabdf3a20f504424bb24d414bf7b7d768b69ecc","file","","","size_sha256_passed","data/raw/external/LSS-FMCWR-2.0/微多普勒处理流程_Micro-Doppler Processing.pdf","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","Official filename and local storage path retained."
"lss_fmcwr_2_0","V4","fmcwr2_usage_pdf","instructions","LSS-FMCWR-2.0_usage_instructions.pdf","https://radars.ac.cn/cn/web/data/getData?dataType=LLS-LFMCWR","2026-08-04","381275","17a199a473693fbd4c703930254c330ab2875036685584e5bd682a895e880971","file","","","pdf_identified","data/raw/external/LSS-FMCWR-2.0/LSS-FMCWR-2.0_usage_instructions.pdf","raw_ignored_not_shared","cc_by_nc_nd_4_0_dataset_license_verified","Journal data-column instructions retained separately from the ScienceDB V4 eight-file release."
"st_andrews_microdoppler_simulation","1","simulation_dataset_zip","release_archive","simulation_dataset.zip","https://research-portal.st-andrews.ac.uk/files/294552715/simulation_dataset.zip","","","","not_downloaded","","","download_blocked_http_403","","none","cc_by_4_0_verified_on_landing_page","Attempted on 2026-08-04. The landing page reports 1.27 MB, but no exact byte count was observed; the official file endpoint returned HTTP 403 twice, no bypass was attempted, and no partial file remains."
"dronerfc_mm","V1","dronerfc_mm_selected_radar_subset","selected_modality_subset","README; 9 mmRadar ZIP; 9 GT CSV; 6 label CSV; 3 scripts","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=0af05173ce5d45528ebd707d67f3d641&version=V1&global=Shanghai","2026-08-04","47366902","6b0c2ed1a075aa9164a516af001b630a9f775fddc9f399223c1aeeb6e7047b2b","sha256_of_sorted_28_file_sha256_manifest","","","manifest_zip_crc_full_pcd_schema_and_timestamp_checks_passed_b1_alignment_blocked","data/raw/external/DroneRFc-MM-V1","raw_ignored_not_shared","cc_by_sa_4_0_verified","Selected from the 75.6 GB release. Full read-only audit passed 30,717 PCD headers and 639,527 finite 15-column point rows; GT timestamps are nondecreasing with duplicates. B1 has zero radar-GT range overlap and is excluded from supervised alignment."
"radar_signature_foil_balloon","0.1","radar_signature_readme","documentation","README.md","https://zenodo.org/api/records/7573165/files/README.md/content","2026-08-04","125546","34900026bc5081d45eccaf69df62fac65173cd2c8b0520d8088cc335941b2171","file","MD5","18c4531fc9e683c52579780e16b94c36","size_md5_sha256_passed","data/raw/external/Radar-Signature-Dataset-0.1/README.md","raw_ignored_not_shared","cc_by_4_0_verified","Official README documents 77 GHz FMCW, 2 GHz bandwidth, four antennas, indoor ISAR motion and Hanning-plus-FFT range-profile preprocessing."
"radar_signature_foil_balloon","0.1","radar_signature_metadata_pickle","metadata","dataset_meta.pkl","https://zenodo.org/api/records/7573165/files/dataset_meta.pkl/content","2026-08-04","27732","6c58ab862caa82cebe72403aed4c33fd61ae3c6aea71cf45bcfe1dcd0d7224b3","file","MD5","5d6cd798a018d8b644212620c965f1db","size_md5_sha256_passed_static_inspection_only","data/raw/external/Radar-Signature-Dataset-0.1/dataset_meta.pkl","raw_ignored_not_shared","cc_by_4_0_verified","Pickle opcodes were inspected statically with pickletools; the untrusted pickle was not executed or loaded."
"radar_signature_foil_balloon","0.1","radar_signature_isar_archive","sequence_archive","isar_dataset.zip","https://zenodo.org/api/records/7573165/files/isar_dataset.zip/content","","42402413502","","not_downloaded","MD5","9f225dac7288f91b20ccacb55d26332d","not_downloaded_deferred_large_domain_mismatch","","none","cc_by_4_0_verified","The 42.4 GB archive was deliberately not downloaded; its controlled indoor digit-balloon domain does not currently justify the transfer and audit cost."
"low_altitude_uav_swarm_25500","V1","uav_swarm_v1_release_zip","release_archive","基于高分辨相控阵雷达的低空无人机群目标数据集.zip","https://download.scidb.cn/download?fileId=c207cc983b0ea3de4315047c7dd27c92&path=/V1/%E5%9F%BA%E4%BA%8E%E9%AB%98%E5%88%86%E8%BE%A8%E7%9B%B8%E6%8E%A7%E9%98%B5%E9%9B%B7%E8%BE%BE%E7%9A%84%E4%BD%8E%E7%A9%BA%E6%97%A0%E4%BA%BA%E6%9C%BA%E7%BE%A4%E7%9B%AE%E6%A0%87%E6%95%B0%E6%8D%AE%E9%9B%86.zip&fileName=%E5%9F%BA%E4%BA%8E%E9%AB%98%E5%88%86%E8%BE%A8%E7%9B%B8%E6%8E%A7%E9%98%B5%E9%9B%B7%E8%BE%BE%E7%9A%84%E4%BD%8E%E7%A9%BA%E6%97%A0%E4%BA%BA%E6%9C%BA%E7%BE%A4%E7%9B%AE%E6%A0%87%E6%95%B0%E6%8D%AE%E9%9B%86.zip","2026-08-04","3996753","c08e5c93d59d1012f134a3ffa7521eb4d26fb7cfc7a8bcbc297574273350a76e","file","","","official_size_sha256_zip_test_path_safety_and_mat_schema_passed","data/raw/external/Low-Altitude-UAV-Swarm-V1/low_altitude_uav_swarm_v1.zip","raw_ignored_not_shared","cc_by_nc_4_0_verified","Seven safe ZIP entries; five MATLAB v5 files encode 171,309 finite XYZ points in 2,281 cells but only 275 contiguous radar screens across three physical experiments."
"noaa_nexrad_level2_nodd","rolling_archive","ktlx_20200101_000532_v06","single_volume_parser_smoke","KTLX20200101_000532_V06","https://unidata-nexrad-level2.s3.amazonaws.com/2020/01/01/KTLX/KTLX20200101_000532_V06","2026-08-04","395379","e6092212670064ebc4da0e38738b38e9f965425c2f219a512c057693211d5c9b","file","HTTP ETag","7de6abafdecce9233a77e75687ab7e79","http_metadata_size_sha256_and_archive_ii_header_passed","data/raw/external/NOAA-NEXRAD-Level-II/KTLX20200101_000532_V06","raw_ignored_not_shared","no_spdx_noaa_open_data_terms_recorded","KTLX volume at 2020-01-01 00:05:32.497 UTC; AR2V0006.208 header and 34 bzip2 blocks verified. DREF/DVEL/DSW plus DZDR/DPHI/DRHO are present; no external parser was installed or executed."
