sample_id,session_id,timestamp,mat_path,label_path,target_present,target_class,payload_present,payload_mass_g,payload_state,distance_m,velocity_mps,azimuth_deg,beam_layer,range_index_0,range_gate_1,velocity_index_0,doppler_bin,split
20260202_144302_beam1,20260202_144302,20260202_144302,data/raw/IQ_Data/20260202_144302_beam1.mat,data/raw/Labels/20260202_144302_beam1.txt,1,uav,unknown,,unknown,1980.0,-2.19,312.1,1,65,66,76,12,
20260202_144302_beam2,20260202_144302,20260202_144302,data/raw/IQ_Data/20260202_144302_beam2.mat,data/raw/Labels/20260202_144302_beam2.txt,1,uav,unknown,,unknown,1980.0,-2.01,312.1,2,65,66,75,11,
20260202_144302_beam3,20260202_144302,20260202_144302,data/raw/IQ_Data/20260202_144302_beam3.mat,data/raw/Labels/20260202_144302_beam3.txt,1,uav,unknown,,unknown,2010.0,-2.19,312.1,3,66,67,76,12,
20260202_144302_beam4,20260202_144302,20260202_144302,data/raw/IQ_Data/20260202_144302_beam4.mat,data/raw/Labels/20260202_144302_beam4.txt,1,uav,unknown,,unknown,2010.0,-2.19,312.1,4,66,67,76,12,
20260202_144302_beam5,20260202_144302,20260202_144302,data/raw/IQ_Data/20260202_144302_beam5.mat,data/raw/Labels/20260202_144302_beam5.txt,1,uav,unknown,,unknown,2010.0,-2.19,312.1,5,66,67,76,12,
20260202_144311_beam1,20260202_144311,20260202_144311,data/raw/IQ_Data/20260202_144311_beam1.mat,data/raw/Labels/20260202_144311_beam1.txt,1,uav,unknown,,unknown,2010.0,3.47,312.15,1,66,67,45,-19,
20260202_144311_beam2,20260202_144311,20260202_144311,data/raw/IQ_Data/20260202_144311_beam2.mat,data/raw/Labels/20260202_144311_beam2.txt,1,uav,unknown,,unknown,2010.0,3.47,312.15,2,66,67,45,-19,
20260202_144311_beam3,20260202_144311,20260202_144311,data/raw/IQ_Data/20260202_144311_beam3.mat,data/raw/Labels/20260202_144311_beam3.txt,1,uav,unknown,,unknown,2010.0,3.29,312.15,3,66,67,46,-18,
20260202_144311_beam4,20260202_144311,20260202_144311,data/raw/IQ_Data/20260202_144311_beam4.mat,data/raw/Labels/20260202_144311_beam4.txt,1,uav,unknown,,unknown,2010.0,3.47,312.15,4,66,67,45,-19,
20260202_144311_beam5,20260202_144311,20260202_144311,data/raw/IQ_Data/20260202_144311_beam5.mat,data/raw/Labels/20260202_144311_beam5.txt,1,uav,unknown,,unknown,2010.0,3.47,312.15,5,66,67,45,-19,
20260202_144319_beam1,20260202_144319,20260202_144319,data/raw/IQ_Data/20260202_144319_beam1.mat,data/raw/Labels/20260202_144319_beam1.txt,1,uav,unknown,,unknown,2040.0,2.19,311.7,1,67,68,52,-12,
20260202_144319_beam2,20260202_144319,20260202_144319,data/raw/IQ_Data/20260202_144319_beam2.mat,data/raw/Labels/20260202_144319_beam2.txt,1,uav,unknown,,unknown,2040.0,2.19,311.7,2,67,68,52,-12,
20260202_144319_beam3,20260202_144319,20260202_144319,data/raw/IQ_Data/20260202_144319_beam3.mat,data/raw/Labels/20260202_144319_beam3.txt,1,uav,unknown,,unknown,2040.0,2.19,311.7,3,67,68,52,-12,
20260202_144319_beam4,20260202_144319,20260202_144319,data/raw/IQ_Data/20260202_144319_beam4.mat,data/raw/Labels/20260202_144319_beam4.txt,1,uav,unknown,,unknown,2040.0,2.19,311.7,4,67,68,52,-12,
20260202_144319_beam5,20260202_144319,20260202_144319,data/raw/IQ_Data/20260202_144319_beam5.mat,data/raw/Labels/20260202_144319_beam5.txt,1,uav,unknown,,unknown,2040.0,2.19,311.7,5,67,68,52,-12,
20260202_144327_beam1,20260202_144327,20260202_144327,data/raw/IQ_Data/20260202_144327_beam1.mat,data/raw/Labels/20260202_144327_beam1.txt,1,uav,unknown,,unknown,2040.0,2.19,311.29,1,67,68,52,-12,
20260202_144327_beam2,20260202_144327,20260202_144327,data/raw/IQ_Data/20260202_144327_beam2.mat,data/raw/Labels/20260202_144327_beam2.txt,1,uav,unknown,,unknown,2040.0,2.19,311.29,2,67,68,52,-12,
20260202_144327_beam3,20260202_144327,20260202_144327,data/raw/IQ_Data/20260202_144327_beam3.mat,data/raw/Labels/20260202_144327_beam3.txt,1,uav,unknown,,unknown,2040.0,2.19,311.29,3,67,68,52,-12,
20260202_144327_beam4,20260202_144327,20260202_144327,data/raw/IQ_Data/20260202_144327_beam4.mat,data/raw/Labels/20260202_144327_beam4.txt,1,uav,unknown,,unknown,2070.0,2.19,311.29,4,68,69,52,-12,
20260202_144327_beam5,20260202_144327,20260202_144327,data/raw/IQ_Data/20260202_144327_beam5.mat,data/raw/Labels/20260202_144327_beam5.txt,1,uav,unknown,,unknown,2040.0,2.19,311.29,5,67,68,52,-12,
20260202_144335_beam1,20260202_144335,20260202_144335,data/raw/IQ_Data/20260202_144335_beam1.mat,data/raw/Labels/20260202_144335_beam1.txt,1,uav,unknown,,unknown,2070.0,2.19,312.67,1,68,69,52,-12,
20260202_144335_beam2,20260202_144335,20260202_144335,data/raw/IQ_Data/20260202_144335_beam2.mat,data/raw/Labels/20260202_144335_beam2.txt,1,uav,unknown,,unknown,2070.0,2.38,311.65,2,68,69,51,-13,
20260202_144335_beam3,20260202_144335,20260202_144335,data/raw/IQ_Data/20260202_144335_beam3.mat,data/raw/Labels/20260202_144335_beam3.txt,1,uav,unknown,,unknown,2070.0,2.19,311.65,3,68,69,52,-12,
20260202_144335_beam4,20260202_144335,20260202_144335,data/raw/IQ_Data/20260202_144335_beam4.mat,data/raw/Labels/20260202_144335_beam4.txt,1,uav,unknown,,unknown,2070.0,2.19,311.65,4,68,69,52,-12,
20260202_144335_beam5,20260202_144335,20260202_144335,data/raw/IQ_Data/20260202_144335_beam5.mat,data/raw/Labels/20260202_144335_beam5.txt,1,uav,unknown,,unknown,2070.0,2.19,311.65,5,68,69,52,-12,
20260202_144344_beam1,20260202_144344,20260202_144344,data/raw/IQ_Data/20260202_144344_beam1.mat,data/raw/Labels/20260202_144344_beam1.txt,1,uav,unknown,,unknown,2070.0,2.01,311.44,1,68,69,53,-11,
20260202_144344_beam2,20260202_144344,20260202_144344,data/raw/IQ_Data/20260202_144344_beam2.mat,data/raw/Labels/20260202_144344_beam2.txt,1,uav,unknown,,unknown,2100.0,2.01,311.44,2,69,70,53,-11,
20260202_144344_beam3,20260202_144344,20260202_144344,data/raw/IQ_Data/20260202_144344_beam3.mat,data/raw/Labels/20260202_144344_beam3.txt,1,uav,unknown,,unknown,2100.0,2.19,311.44,3,69,70,52,-12,
20260202_144344_beam4,20260202_144344,20260202_144344,data/raw/IQ_Data/20260202_144344_beam4.mat,data/raw/Labels/20260202_144344_beam4.txt,1,uav,unknown,,unknown,2070.0,2.19,311.44,4,68,69,52,-12,
20260202_144344_beam5,20260202_144344,20260202_144344,data/raw/IQ_Data/20260202_144344_beam5.mat,data/raw/Labels/20260202_144344_beam5.txt,1,uav,unknown,,unknown,2100.0,2.01,312.43,5,69,70,53,-11,
20260202_144352_beam1,20260202_144352,20260202_144352,data/raw/IQ_Data/20260202_144352_beam1.mat,data/raw/Labels/20260202_144352_beam1.txt,1,uav,unknown,,unknown,2100.0,-2.92,312.52,1,69,70,80,16,
20260202_144352_beam2,20260202_144352,20260202_144352,data/raw/IQ_Data/20260202_144352_beam2.mat,data/raw/Labels/20260202_144352_beam2.txt,1,uav,unknown,,unknown,2100.0,-2.74,312.52,2,69,70,79,15,
20260202_144352_beam3,20260202_144352,20260202_144352,data/raw/IQ_Data/20260202_144352_beam3.mat,data/raw/Labels/20260202_144352_beam3.txt,1,uav,unknown,,unknown,2100.0,-2.92,312.52,3,69,70,80,16,
20260202_144352_beam4,20260202_144352,20260202_144352,data/raw/IQ_Data/20260202_144352_beam4.mat,data/raw/Labels/20260202_144352_beam4.txt,1,uav,unknown,,unknown,2070.0,-2.92,312.52,4,68,69,80,16,
20260202_144352_beam5,20260202_144352,20260202_144352,data/raw/IQ_Data/20260202_144352_beam5.mat,data/raw/Labels/20260202_144352_beam5.txt,1,uav,unknown,,unknown,2100.0,-2.92,312.52,5,69,70,80,16,
20260202_144417_beam1,20260202_144417,20260202_144417,data/raw/IQ_Data/20260202_144417_beam1.mat,data/raw/Labels/20260202_144417_beam1.txt,1,uav,unknown,,unknown,2040.0,-3.29,311.29,1,67,68,82,18,
20260202_144417_beam2,20260202_144417,20260202_144417,data/raw/IQ_Data/20260202_144417_beam2.mat,data/raw/Labels/20260202_144417_beam2.txt,1,uav,unknown,,unknown,2010.0,-3.47,311.29,2,66,67,83,19,
20260202_144417_beam3,20260202_144417,20260202_144417,data/raw/IQ_Data/20260202_144417_beam3.mat,data/raw/Labels/20260202_144417_beam3.txt,1,uav,unknown,,unknown,2040.0,-3.47,311.29,3,67,68,83,19,
20260202_144417_beam4,20260202_144417,20260202_144417,data/raw/IQ_Data/20260202_144417_beam4.mat,data/raw/Labels/20260202_144417_beam4.txt,1,uav,unknown,,unknown,2010.0,-3.29,311.29,4,66,67,82,18,
20260202_144417_beam5,20260202_144417,20260202_144417,data/raw/IQ_Data/20260202_144417_beam5.mat,data/raw/Labels/20260202_144417_beam5.txt,1,uav,unknown,,unknown,2010.0,-3.29,312.29,5,66,67,82,18,
20260202_144425_beam1,20260202_144425,20260202_144425,data/raw/IQ_Data/20260202_144425_beam1.mat,data/raw/Labels/20260202_144425_beam1.txt,1,uav,unknown,,unknown,1980.0,-3.47,311.55,1,65,66,83,19,
20260202_144425_beam2,20260202_144425,20260202_144425,data/raw/IQ_Data/20260202_144425_beam2.mat,data/raw/Labels/20260202_144425_beam2.txt,1,uav,unknown,,unknown,1980.0,-3.47,311.55,2,65,66,83,19,
20260202_144425_beam3,20260202_144425,20260202_144425,data/raw/IQ_Data/20260202_144425_beam3.mat,data/raw/Labels/20260202_144425_beam3.txt,1,uav,unknown,,unknown,2010.0,-3.47,311.55,3,66,67,83,19,
20260202_144425_beam4,20260202_144425,20260202_144425,data/raw/IQ_Data/20260202_144425_beam4.mat,data/raw/Labels/20260202_144425_beam4.txt,1,uav,unknown,,unknown,1980.0,-3.47,311.55,4,65,66,83,19,
20260202_144425_beam5,20260202_144425,20260202_144425,data/raw/IQ_Data/20260202_144425_beam5.mat,data/raw/Labels/20260202_144425_beam5.txt,1,uav,unknown,,unknown,2010.0,-3.47,311.55,5,66,67,83,19,
20260202_144433_beam1,20260202_144433,20260202_144433,data/raw/IQ_Data/20260202_144433_beam1.mat,data/raw/Labels/20260202_144433_beam1.txt,1,uav,unknown,,unknown,1950.0,-4.2,310.71,1,64,65,87,23,
20260202_144433_beam2,20260202_144433,20260202_144433,data/raw/IQ_Data/20260202_144433_beam2.mat,data/raw/Labels/20260202_144433_beam2.txt,1,uav,unknown,,unknown,1950.0,-4.2,310.71,2,64,65,87,23,
20260202_144433_beam3,20260202_144433,20260202_144433,data/raw/IQ_Data/20260202_144433_beam3.mat,data/raw/Labels/20260202_144433_beam3.txt,1,uav,unknown,,unknown,1950.0,-4.2,310.71,3,64,65,87,23,
20260202_144433_beam4,20260202_144433,20260202_144433,data/raw/IQ_Data/20260202_144433_beam4.mat,data/raw/Labels/20260202_144433_beam4.txt,1,uav,unknown,,unknown,1950.0,-4.2,310.71,4,64,65,87,23,
20260202_144433_beam5,20260202_144433,20260202_144433,data/raw/IQ_Data/20260202_144433_beam5.mat,data/raw/Labels/20260202_144433_beam5.txt,1,uav,unknown,,unknown,1950.0,-4.2,311.7,5,64,65,87,23,
20260202_144458_beam1,20260202_144458,20260202_144458,data/raw/IQ_Data/20260202_144458_beam1.mat,data/raw/Labels/20260202_144458_beam1.txt,1,uav,unknown,,unknown,2010.0,5.66,310.01,1,66,67,33,-31,
20260202_144458_beam2,20260202_144458,20260202_144458,data/raw/IQ_Data/20260202_144458_beam2.mat,data/raw/Labels/20260202_144458_beam2.txt,1,uav,unknown,,unknown,2010.0,5.66,310.01,2,66,67,33,-31,
20260202_144458_beam3,20260202_144458,20260202_144458,data/raw/IQ_Data/20260202_144458_beam3.mat,data/raw/Labels/20260202_144458_beam3.txt,1,uav,unknown,,unknown,1980.0,5.66,310.01,3,65,66,33,-31,
20260202_144458_beam4,20260202_144458,20260202_144458,data/raw/IQ_Data/20260202_144458_beam4.mat,data/raw/Labels/20260202_144458_beam4.txt,1,uav,unknown,,unknown,2010.0,5.66,310.01,4,66,67,33,-31,
20260202_144458_beam5,20260202_144458,20260202_144458,data/raw/IQ_Data/20260202_144458_beam5.mat,data/raw/Labels/20260202_144458_beam5.txt,1,uav,unknown,,unknown,1980.0,5.66,310.01,5,65,66,33,-31,
20260202_144506_beam1,20260202_144506,20260202_144506,data/raw/IQ_Data/20260202_144506_beam1.mat,data/raw/Labels/20260202_144506_beam1.txt,1,uav,unknown,,unknown,2070.0,4.75,310.23,1,68,69,38,-26,
20260202_144506_beam2,20260202_144506,20260202_144506,data/raw/IQ_Data/20260202_144506_beam2.mat,data/raw/Labels/20260202_144506_beam2.txt,1,uav,unknown,,unknown,2040.0,4.75,310.23,2,67,68,38,-26,
20260202_144506_beam3,20260202_144506,20260202_144506,data/raw/IQ_Data/20260202_144506_beam3.mat,data/raw/Labels/20260202_144506_beam3.txt,1,uav,unknown,,unknown,2070.0,4.75,309.24,3,68,69,38,-26,
20260202_144506_beam4,20260202_144506,20260202_144506,data/raw/IQ_Data/20260202_144506_beam4.mat,data/raw/Labels/20260202_144506_beam4.txt,1,uav,unknown,,unknown,2070.0,4.75,309.24,4,68,69,38,-26,
20260202_144506_beam5,20260202_144506,20260202_144506,data/raw/IQ_Data/20260202_144506_beam5.mat,data/raw/Labels/20260202_144506_beam5.txt,1,uav,unknown,,unknown,2040.0,4.75,310.23,5,67,68,38,-26,
20260202_144515_beam1,20260202_144515,20260202_144515,data/raw/IQ_Data/20260202_144515_beam1.mat,data/raw/Labels/20260202_144515_beam1.txt,1,uav,unknown,,unknown,2070.0,5.3,308.62,1,68,69,35,-29,
20260202_144515_beam2,20260202_144515,20260202_144515,data/raw/IQ_Data/20260202_144515_beam2.mat,data/raw/Labels/20260202_144515_beam2.txt,1,uav,unknown,,unknown,2070.0,5.3,309.61,2,68,69,35,-29,
20260202_144515_beam3,20260202_144515,20260202_144515,data/raw/IQ_Data/20260202_144515_beam3.mat,data/raw/Labels/20260202_144515_beam3.txt,1,uav,unknown,,unknown,2100.0,5.3,308.62,3,69,70,35,-29,
20260202_144515_beam4,20260202_144515,20260202_144515,data/raw/IQ_Data/20260202_144515_beam4.mat,data/raw/Labels/20260202_144515_beam4.txt,1,uav,unknown,,unknown,2100.0,5.3,308.62,4,69,70,35,-29,
20260202_144515_beam5,20260202_144515,20260202_144515,data/raw/IQ_Data/20260202_144515_beam5.mat,data/raw/Labels/20260202_144515_beam5.txt,1,uav,unknown,,unknown,2070.0,5.3,308.62,5,68,69,35,-29,
20260202_144523_beam1,20260202_144523,20260202_144523,data/raw/IQ_Data/20260202_144523_beam1.mat,data/raw/Labels/20260202_144523_beam1.txt,1,uav,unknown,,unknown,2130.0,5.12,308.4,1,70,71,36,-28,
20260202_144523_beam2,20260202_144523,20260202_144523,data/raw/IQ_Data/20260202_144523_beam2.mat,data/raw/Labels/20260202_144523_beam2.txt,1,uav,unknown,,unknown,2130.0,5.12,308.4,2,70,71,36,-28,
20260202_144523_beam3,20260202_144523,20260202_144523,data/raw/IQ_Data/20260202_144523_beam3.mat,data/raw/Labels/20260202_144523_beam3.txt,1,uav,unknown,,unknown,2100.0,5.12,308.4,3,69,70,36,-28,
20260202_144523_beam4,20260202_144523,20260202_144523,data/raw/IQ_Data/20260202_144523_beam4.mat,data/raw/Labels/20260202_144523_beam4.txt,1,uav,unknown,,unknown,2130.0,5.12,308.4,4,70,71,36,-28,
20260202_144523_beam5,20260202_144523,20260202_144523,data/raw/IQ_Data/20260202_144523_beam5.mat,data/raw/Labels/20260202_144523_beam5.txt,1,uav,unknown,,unknown,2130.0,5.12,308.4,5,70,71,36,-28,
20260202_144539_beam1,20260202_144539,20260202_144539,data/raw/IQ_Data/20260202_144539_beam1.mat,data/raw/Labels/20260202_144539_beam1.txt,1,uav,unknown,,unknown,2190.0,3.29,310.79,1,72,73,46,-18,
20260202_144539_beam2,20260202_144539,20260202_144539,data/raw/IQ_Data/20260202_144539_beam2.mat,data/raw/Labels/20260202_144539_beam2.txt,1,uav,unknown,,unknown,2190.0,3.11,310.79,2,72,73,47,-17,
20260202_144539_beam3,20260202_144539,20260202_144539,data/raw/IQ_Data/20260202_144539_beam3.mat,data/raw/Labels/20260202_144539_beam3.txt,1,uav,unknown,,unknown,2190.0,3.29,310.79,3,72,73,46,-18,
20260202_144539_beam4,20260202_144539,20260202_144539,data/raw/IQ_Data/20260202_144539_beam4.mat,data/raw/Labels/20260202_144539_beam4.txt,1,uav,unknown,,unknown,2190.0,3.29,310.79,4,72,73,46,-18,
20260202_144548_beam1,20260202_144548,20260202_144548,data/raw/IQ_Data/20260202_144548_beam1.mat,data/raw/Labels/20260202_144548_beam1.txt,1,uav,unknown,,unknown,2220.0,2.38,311.9,1,73,74,51,-13,
20260202_144548_beam2,20260202_144548,20260202_144548,data/raw/IQ_Data/20260202_144548_beam2.mat,data/raw/Labels/20260202_144548_beam2.txt,1,uav,unknown,,unknown,2220.0,2.38,311.9,2,73,74,51,-13,
20260202_144548_beam3,20260202_144548,20260202_144548,data/raw/IQ_Data/20260202_144548_beam3.mat,data/raw/Labels/20260202_144548_beam3.txt,1,uav,unknown,,unknown,2220.0,2.38,311.9,3,73,74,51,-13,
20260202_144548_beam4,20260202_144548,20260202_144548,data/raw/IQ_Data/20260202_144548_beam4.mat,data/raw/Labels/20260202_144548_beam4.txt,1,uav,unknown,,unknown,2220.0,2.38,311.9,4,73,74,51,-13,
20260202_144556_beam1,20260202_144556,20260202_144556,data/raw/IQ_Data/20260202_144556_beam1.mat,data/raw/Labels/20260202_144556_beam1.txt,1,uav,unknown,,unknown,2250.0,-1.64,313.17,1,74,75,73,9,
20260202_144556_beam2,20260202_144556,20260202_144556,data/raw/IQ_Data/20260202_144556_beam2.mat,data/raw/Labels/20260202_144556_beam2.txt,1,uav,unknown,,unknown,2220.0,-1.64,312.18,2,73,74,73,9,
20260202_144556_beam3,20260202_144556,20260202_144556,data/raw/IQ_Data/20260202_144556_beam3.mat,data/raw/Labels/20260202_144556_beam3.txt,1,uav,unknown,,unknown,2220.0,-1.64,312.18,3,73,74,73,9,
20260202_144604_beam1,20260202_144604,20260202_144604,data/raw/IQ_Data/20260202_144604_beam1.mat,data/raw/Labels/20260202_144604_beam1.txt,1,uav,unknown,,unknown,2190.0,-4.02,313.35,1,72,73,86,22,
20260202_144604_beam2,20260202_144604,20260202_144604,data/raw/IQ_Data/20260202_144604_beam2.mat,data/raw/Labels/20260202_144604_beam2.txt,1,uav,unknown,,unknown,2190.0,-4.2,314.35,2,72,73,87,23,
20260202_144604_beam3,20260202_144604,20260202_144604,data/raw/IQ_Data/20260202_144604_beam3.mat,data/raw/Labels/20260202_144604_beam3.txt,1,uav,unknown,,unknown,2220.0,-4.2,314.35,3,73,74,87,23,
20260202_144604_beam4,20260202_144604,20260202_144604,data/raw/IQ_Data/20260202_144604_beam4.mat,data/raw/Labels/20260202_144604_beam4.txt,1,uav,unknown,,unknown,2190.0,-4.2,314.35,4,72,73,87,23,
20260202_144613_beam1,20260202_144613,20260202_144613,data/raw/IQ_Data/20260202_144613_beam1.mat,data/raw/Labels/20260202_144613_beam1.txt,1,uav,unknown,,unknown,2160.0,-5.66,314.63,1,71,72,95,31,
20260202_144613_beam2,20260202_144613,20260202_144613,data/raw/IQ_Data/20260202_144613_beam2.mat,data/raw/Labels/20260202_144613_beam2.txt,1,uav,unknown,,unknown,2160.0,-5.66,314.63,2,71,72,95,31,
20260202_144613_beam3,20260202_144613,20260202_144613,data/raw/IQ_Data/20260202_144613_beam3.mat,data/raw/Labels/20260202_144613_beam3.txt,1,uav,unknown,,unknown,2160.0,-5.66,314.63,3,71,72,95,31,
20260202_144613_beam4,20260202_144613,20260202_144613,data/raw/IQ_Data/20260202_144613_beam4.mat,data/raw/Labels/20260202_144613_beam4.txt,1,uav,unknown,,unknown,2160.0,-5.66,314.63,4,71,72,95,31,
20260202_144629_beam1,20260202_144629,20260202_144629,data/raw/IQ_Data/20260202_144629_beam1.mat,data/raw/Labels/20260202_144629_beam1.txt,1,uav,unknown,,unknown,2400.0,-6.76,313.77,1,79,80,101,37,
20260202_144629_beam2,20260202_144629,20260202_144629,data/raw/IQ_Data/20260202_144629_beam2.mat,data/raw/Labels/20260202_144629_beam2.txt,1,uav,unknown,,unknown,2400.0,-6.76,313.77,2,79,80,101,37,
20260202_144629_beam3,20260202_144629,20260202_144629,data/raw/IQ_Data/20260202_144629_beam3.mat,data/raw/Labels/20260202_144629_beam3.txt,1,uav,unknown,,unknown,2400.0,-6.76,314.77,3,79,80,101,37,
20260202_144629_beam4,20260202_144629,20260202_144629,data/raw/IQ_Data/20260202_144629_beam4.mat,data/raw/Labels/20260202_144629_beam4.txt,1,uav,unknown,,unknown,2400.0,-6.76,313.77,4,79,80,101,37,
20260202_144637_beam1,20260202_144637,20260202_144637,data/raw/IQ_Data/20260202_144637_beam1.mat,data/raw/Labels/20260202_144637_beam1.txt,1,uav,unknown,,unknown,2130.0,-1.28,315.08,1,70,71,71,7,
20260202_144637_beam2,20260202_144637,20260202_144637,data/raw/IQ_Data/20260202_144637_beam2.mat,data/raw/Labels/20260202_144637_beam2.txt,1,uav,unknown,,unknown,2130.0,-1.1,315.08,2,70,71,70,6,
20260202_144637_beam3,20260202_144637,20260202_144637,data/raw/IQ_Data/20260202_144637_beam3.mat,data/raw/Labels/20260202_144637_beam3.txt,1,uav,unknown,,unknown,2130.0,-1.1,315.08,3,70,71,70,6,
20260202_144637_beam4,20260202_144637,20260202_144637,data/raw/IQ_Data/20260202_144637_beam4.mat,data/raw/Labels/20260202_144637_beam4.txt,1,uav,unknown,,unknown,2100.0,-1.28,315.08,4,69,70,71,7,
20260202_144645_beam1,20260202_144645,20260202_144645,data/raw/IQ_Data/20260202_144645_beam1.mat,data/raw/Labels/20260202_144645_beam1.txt,1,uav,unknown,,unknown,2040.0,2.01,310.9,1,67,68,53,-11,
20260202_144645_beam2,20260202_144645,20260202_144645,data/raw/IQ_Data/20260202_144645_beam2.mat,data/raw/Labels/20260202_144645_beam2.txt,1,uav,unknown,,unknown,2070.0,2.01,310.9,2,68,69,53,-11,
20260202_144645_beam3,20260202_144645,20260202_144645,data/raw/IQ_Data/20260202_144645_beam3.mat,data/raw/Labels/20260202_144645_beam3.txt,1,uav,unknown,,unknown,2070.0,2.01,310.9,3,68,69,53,-11,
20260202_144645_beam4,20260202_144645,20260202_144645,data/raw/IQ_Data/20260202_144645_beam4.mat,data/raw/Labels/20260202_144645_beam4.txt,1,uav,unknown,,unknown,2040.0,2.01,310.9,4,67,68,53,-11,
20260202_144710_beam1,20260202_144710,20260202_144710,data/raw/IQ_Data/20260202_144710_beam1.mat,data/raw/Labels/20260202_144710_beam1.txt,1,uav,unknown,,unknown,2160.0,4.2,308.54,1,71,72,41,-23,
20260202_144710_beam2,20260202_144710,20260202_144710,data/raw/IQ_Data/20260202_144710_beam2.mat,data/raw/Labels/20260202_144710_beam2.txt,1,uav,unknown,,unknown,2160.0,4.2,308.54,2,71,72,41,-23,
20260202_144710_beam3,20260202_144710,20260202_144710,data/raw/IQ_Data/20260202_144710_beam3.mat,data/raw/Labels/20260202_144710_beam3.txt,1,uav,unknown,,unknown,2160.0,4.2,308.54,3,71,72,41,-23,
20260202_144710_beam4,20260202_144710,20260202_144710,data/raw/IQ_Data/20260202_144710_beam4.mat,data/raw/Labels/20260202_144710_beam4.txt,1,uav,unknown,,unknown,2130.0,4.2,308.54,4,70,71,41,-23,
20260202_144718_beam1,20260202_144718,20260202_144718,data/raw/IQ_Data/20260202_144718_beam1.mat,data/raw/Labels/20260202_144718_beam1.txt,1,uav,unknown,,unknown,2190.0,3.47,310.45,1,72,73,45,-19,
20260202_144718_beam2,20260202_144718,20260202_144718,data/raw/IQ_Data/20260202_144718_beam2.mat,data/raw/Labels/20260202_144718_beam2.txt,1,uav,unknown,,unknown,2190.0,3.47,310.45,2,72,73,45,-19,
20260202_144718_beam3,20260202_144718,20260202_144718,data/raw/IQ_Data/20260202_144718_beam3.mat,data/raw/Labels/20260202_144718_beam3.txt,1,uav,unknown,,unknown,2190.0,3.47,310.45,3,72,73,45,-19,
20260202_144718_beam4,20260202_144718,20260202_144718,data/raw/IQ_Data/20260202_144718_beam4.mat,data/raw/Labels/20260202_144718_beam4.txt,1,uav,unknown,,unknown,2190.0,3.47,310.45,4,72,73,45,-19,
