relative_path,kind,category,recommended_action,reason,size_bytes,size_human,sha256
README_显式极化表征基准Stage2.md,file,stage_readme,archive,阶段安装说明，正式文档已在项目目录内,1107,1.08 KB,472b5eef69ff0cc68822190f031239e05654949fa194d1ca39043f0b4d57329d
README_显式极化门控与分数迁移诊断_v2.md,file,stage_readme,archive,阶段安装说明，正式文档已在项目目录内,791,791.00 B,9e2e9e1309135159f554f28241fe2038502d7e9a9b5eba1532f8d6b9817ffac6
apply_bc_dpg_current_model_stage2_v2.py,file,installer,archive,已执行的当前模型 Stage 2 安装器,64037,62.54 KB,29fc69b37e94415b0697cc0f59d922b00b2013709b6c7f1ee0713f77391d6037
apply_bc_dpg_v3_ablation_polar_stage1.py,file,installer,archive,已执行的 v3 消融安装器,131082,128.01 KB,aa5cecfa5d8e25be4c080b924f298afeb8426af1529fdd5bc7c539027fc486cc
apply_bc_dpg_v3_ablation_runner_fix_v2.py,file,installer,archive,已执行的 v3 消融安装器,18155,17.73 KB,fc5e57d30caa727e02b075f00a1bcc49727ee287c4ae0fc74e17def75eb43588
apply_bc_dpg_v3_final_freeze_paper_evidence_v1.py,file,installer,archive,已执行的最终冻结安装器,43837,42.81 KB,ec3bba98ef54ef71ca782b738e5777a06e2c4a454f68f8508576a451bd4fe85a
apply_polarimetric_gated_representation_v2.py,file,installer,archive,已执行的极化门控安装器,86588,84.56 KB,b9dc58a91fd0456dcae046a49502028696d99f71eee0142ec092f5237654c17f
apply_polarimetric_representation_benchmark_v1.py,file,installer,archive,已执行的极化表征安装器,67823,66.23 KB,7d83fbfcfbc22e4414cd951daa51d077f4ce4555e81d837f24632e376e24d8e3
baselines/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,7282,7.11 KB,
bc_dpg_current_model_stage2_smoke_acceptance.zip,file,acceptance_zip,archive,Stage 2 验收包，结果已进入 results,14074,13.74 KB,9648e9fbbef71e4f90ae1383b6950addeff6e964da484984692858fae5e87d79
bc_dpg_current_model_stage2_smoke_terminal.log,file,terminal_log,archive,Stage 2 根目录过程日志,28036,27.38 KB,47b132bc56a989ad0b341dd9028f9bfa4c29b96029b7ecc1d3f5455a27d269da
bc_dpg_v31_shift_reg_formal_acceptance.zip,file,acceptance_zip,archive,正则扫描验收包，结果已进入 results,13820,13.50 KB,b9a602c6ea6b69fe6b5401b04fa2cf281c3ff2994da65ba50f21b40cb7b61876
bc_dpg_v31_shift_reg_formal_acceptance_v2.zip,file,acceptance_zip,archive,正则扫描验收包，结果已进入 results,19978,19.51 KB,569c9632e3e1a648f117f39e0a33f46f1fcdfaebc9f6025cdd6420bddf06f677
bc_dpg_v31_shift_reg_formal_terminal.log,file,terminal_log,archive,正则扫描根目录过程日志,145733,142.32 KB,82d523b8bbeee385f1467d7e43cf96a5c98b30a7ba2959b5db4a553847e7b68b
bc_dpg_v3_ablation_extended_formal_acceptance.zip,file,acceptance_zip,archive,v3 消融验收包，结果已进入 results,11952,11.67 KB,93a1b421bc32499463edb8de8a76d0b719361b46698dae639bb2d86f2a3697e5
bc_dpg_v3_ablation_extended_formal_terminal.log,file,terminal_log,archive,v3 消融根目录过程日志,53856,52.59 KB,746e60157ef9fa358aa1aa9aaf40445832bf2d67723761cc1bbfd7f64ab70711
bc_dpg_v3_ablation_formal_acceptance.zip,file,acceptance_zip,archive,v3 消融验收包，结果已进入 results,4068,3.97 KB,b3f60ed82a2ffad746ee03d9157215394d838302f9770f71ba1be93d7c60c477
bc_dpg_v3_ablation_formal_terminal.log,file,terminal_log,archive,v3 消融根目录过程日志,4924,4.81 KB,8358c075737423658b38fff7b5898ad04e2834d064742de77a7b50fce201e6a0
bc_dpg_v3_ablation_sixfold_formal_acceptance.zip,file,acceptance_zip,archive,v3 消融验收包，结果已进入 results,18827,18.39 KB,aa9b66d26a8efe62ab9a0dbf52c03ff5971429a35142708bfda21d3eb10b8bfe
bc_dpg_v3_ablation_sixfold_formal_terminal.log,file,terminal_log,archive,v3 消融根目录过程日志,113342,110.69 KB,f8f507750941b8af55edd4849c27325eb7943d668227a7ed0ba610b716c25d94
bc_dpg_v3_final_evidence.zip,file,evidence_zip,archive,根目录证据副本，正式文件保存在 results/final_evidence,297914,290.93 KB,0191df3e9a777bdaa8ab7e0cc4a626a7001796fb907c5a7f7bcb27a7887827f5
bc_dpg_v3_final_evidence_terminal.log,file,terminal_log,archive,最终证据根目录过程日志,685,685.00 B,768399862cc8f2e1d75c2a2cbd6f156b5ed6f925ab6534c27d75ec6a2bb39f7e
bc_dpg_v3_final_freeze_acceptance.zip,file,acceptance_zip,archive,最终冻结验收包,309494,302.24 KB,8179e445805ffe44159b21a303a572960c0c2b3c969b24471ece0ed31b19cb74
current_structure_reader_package,directory,legacy_package_dir,archive,一次性项目结构读取包,26173,25.56 KB,
datasets/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,78860,77.01 KB,
detection_ablation_analysis_v2_package,directory,legacy_package_dir,archive,旧检测消融分析包,19498,19.04 KB,
detection_diagnostics_v3_package,directory,legacy_package_dir,archive,旧检测诊断包,32930,32.16 KB,
detection_group_split_v1_package,directory,legacy_package_dir,archive,旧分组划分包,66498,64.94 KB,
detection_group_split_v1_package/scripts/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,37029,36.16 KB,
detection_visualization_hotfix_v3_1,directory,legacy_package_dir,archive,旧可视化热修复目录,16753,16.36 KB,
dpg_fcn_v1_patch,directory,legacy_patch_dir,archive,早期 DPG-FCN v1 补丁目录,47749,46.63 KB,
evaluation/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,142,142.00 B,
features/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,22250,21.73 KB,
full_detection_baseline_v2_package,directory,legacy_package_dir,archive,旧完整检测基线包,43405,42.39 KB,
hv_late_fusion_diagnostic_v1,directory,legacy_diagnostic_dir,archive,旧 H/V 后融合诊断目录,27967,27.31 KB,
models/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,77231,75.42 KB,
polarimetric_gated_stage3_smoke_acceptance.zip,file,acceptance_zip,archive,极化 Stage 3 smoke 验收包,94260,92.05 KB,653d4170875f67a1367fd15577866016313f9eb59f7a03c6114d1b7a6fb6d95d
polarimetric_gated_stage3_smoke_terminal.log,file,terminal_log,archive,极化 Stage 3 根目录过程日志,20191,19.72 KB,99c67c4dd1a13b3ff086750c66024a761933d6c6fe965548b88a4fa56a3c9b13
polarimetric_representation_stage2_smoke_acceptance.zip,file,acceptance_zip,archive,极化 Stage 2 smoke 验收包,6929,6.77 KB,942c4401a77773d84e66619999a5b58be493ce9f19aa69433699c0f9b86c0ac6
polarimetric_representation_stage2_smoke_terminal.log,file,terminal_log,archive,极化 Stage 2 根目录过程日志,17203,16.80 KB,f43f8e5c135846a39bc19217a1ca79b64374c7353bb2c1dc3617fe59e1018ea0
polarimetric_representation_twofold_formal_acceptance.zip,file,acceptance_zip,archive,极化两折正式验收包,16298,15.92 KB,e1e4c66b66d472e513e310fb7673c82031dcaafb957d0e2233cf7d56ae9cf441
polarimetric_representation_twofold_formal_terminal.log,file,terminal_log,archive,极化两折正式根目录过程日志,73848,72.12 KB,9780a0eb05157d38307f77a37489c355071b1c6086ce16466123f764b8fdb6a1
radar_data_reader_package/datasets/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,22711,22.18 KB,
radar_data_reader_package/scripts/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,15434,15.07 KB,
scripts/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,1174256,1.12 MB,
training/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,288514,281.75 KB,
utils/__pycache__,directory,cache_dir,delete_cache,Python/测试/Notebook 可再生缓存,2182,2.13 KB,
